,Region,Site,Filename,Start.freq,End.freq,Min.freq,Max.freq,Delta.freq,Duration,Extrema,sqrtStart.freq,sqrtEnd.freq,sqrtDelta.freq,logDuration,logExt,sqrtMin,sqrtMax
1,Coastal,2,20160729_231703.601,4800,5109.7,3522.6,5109.7,1587.1,0.731,3,69.2820323,71.48216561,39.83842366,-0.313341819,1.098612289,59.35149535,71.48216561
2,Coastal,2,20160730_011125.975,2129,2322.6,1935.5,4954.8,3019.3,1.406,4,46.14108798,48.19336054,54.94815738,0.340748793,1.386294361,43.99431781,70.39034025
3,Coastal,2,20160730_011127.310,4899.6,4680.6,1970.8,4981.7,3010.9,1.483,6,69.9971428,68.41491066,54.87166846,0.394067063,1.791759469,44.39369325,70.58115896
4,Coastal,2,20160731_230002.515,5264.5,8129,3290.3,8554.8,5264.5,2.052,7,72.55687424,90.16096716,72.55687424,0.718814927,1.945910149,57.36113667,92.49216183
5,Coastal,2,20160802_000019.122,1858.1,4451.6,1664.5,5690.3,4025.8,2.106,4,43.10568408,66.72031175,63.44919227,0.744790414,1.386294361,40.79828428,75.43407718
6,Coastal,2,20160804_230341.325,5225.8,2012.9,1741.9,5767.7,4025.8,4.42,7,72.28969498,44.86535412,63.44919227,1.486139696,1.945910149,41.73607552,75.94537511
7,Coastal,2,20160815_220048.975,2438.7,2012.9,2012.9,8012.9,6000,1.59,3,49.38319552,44.86535412,77.45966692,0.463734016,1.098612289,44.86535412,89.51480325
8,Coastal,2,20160815_220134.034,1780.6,1896.8,1780.6,5883.9,4103.3,2.234,3,42.1971563,43.55226745,64.05700586,0.803793701,1.098612289,42.1971563,76.70658381
9,Coastal,2,20160815_220956.677,3483.9,2245.2,2361.3,4025.8,1664.5,1.601,8,59.02457115,47.38354145,40.79828428,0.470628434,2.079441542,48.5932094,63.44919227
10,Coastal,2,20160817_230021.071,5419.4,3987.1,3987.1,5961.3,1974.2,1.004,3,73.61657422,63.14348739,44.43197047,0.003992021,1.098612289,63.14348739,77.20945538
11,Coastal,2,20160818_230623.114,6038.7,1974.2,1974.2,6154.8,4180.6,1.23,4,77.70907283,44.43197047,64.6575595,0.207014169,1.386294361,44.43197047,78.45253342
12,Coastal,2,20160819_001013.250,4916.1,2748.4,2477.4,5187.1,2709.7,1.113,9,70.11490569,52.42518479,52.05477884,0.107059072,2.197224577,49.77348692,72.02152456
13,Coastal,2,20160822_180028.753,7741.9,2477.4,1974.2,8361.3,6387.1,2.398,9,87.98806737,49.77348692,79.91933433,0.874635057,2.197224577,44.43197047,91.44014436
14,Coastal,2,20160822_181543.684,2283.9,3483.9,2167.7,9135.5,6967.8,3.449,7,47.79016635,59.02457115,83.47334904,1.238084334,1.945910149,46.55856527,95.57980958
15,Coastal,2,20160824_231656.635,4838.7,2903.2,2012.9,5574.2,3561.3,2.09,7,69.5607648,53.88135113,59.67662859,0.737164066,1.945910149,44.86535412,74.66056523
16,Coastal,2,20160904_000626.472,2787.1,2400,2051.6,7393.5,5341.9,2.69,8,52.79299196,48.98979486,73.08830276,0.989541194,2.079441542,45.29459129,85.98546389
