site,whistle,date,SiteIndex
2,20160729_230128.056.ctr,7/29/16,1
2,20160729_231127.809.ctr,7/29/16,2
2,20160729_231703.601.ctr,7/29/16,3
2,20160730_010910.094.ctr,7/30/16,4
2,20160730_011006.447.ctr,7/30/16,5
2,20160730_011013.529.ctr,7/30/16,6
2,20160730_011125.975.ctr,7/30/16,7
2,20160730_011127.310.ctr,7/30/16,8
2,20160730_011513.856,7/30/16,9
2,20160731_010614.579.ctr,7/31/16,10
2,20160731_230002.515.ctr,7/31/16,11
2,20160731_230004.039.ctr,7/31/16,12
2,20160802_000008.180.ctr,8/2/16,13
2,20160802_000013.642.ctr,8/2/16,14
2,20160802_000019.122.ctr,8/2/16,15
2,20160802_000109.165.ctr,8/2/16,16
2,20160802_000538.999.ctr,8/2/16,17
2,20160802_001442.101.ctr,8/2/16,18
2,20160802_001659.729.ctr,8/2/16,19
2,20160802_030607.780.ctr,8/2/16,20
2,20160802_030607.781.ctr,8/2/16,21
2,20160804_210659.115.ctr,8/4/16,22
2,20160804_211532.690.ctr,8/4/16,23
2,20160804_230341.325.ctr,8/4/16,24
2,20160804_230346.708.ctr,8/4/16,25
2,20160804_230346.709.ctr,8/4/16,26
2,20160804_230356.577.ctr,8/4/16,27
2,20160804_230413.343.ctr,8/4/16,28
2,20160804_230437.592.ctr,8/4/16,29
2,20160804_230701.899.ctr,8/4/16,30
2,20160804_230731.327.ctr,8/4/16,31
2,20160804_231418.667.ctr,8/4/16,32
2,20160804_231422.014.ctr,8/4/16,33
2,20160804_231453.661.ctr,8/4/16,34
2,20160804_231931.419.ctr,8/4/16,35
2,20160804_231948.951.ctr,8/4/16,36
2,20160805_010844.029.ctr,8/5/16,37
2,20160805_010919.226.ctr,8/5/16,38
2,20160805_011616.892,8/5/16,39
2,20160805_011618.725,8/5/16,40
2,20160805_011825.850,8/5/16,41
2,20160805_011832.089,8/5/16,42
2,20160805_210032.043.ctr,8/5/16,43
2,20160805_210345.867.ctr,8/5/16,44
2,20160805_210735.186.ctr,8/5/16,45
2,20160805_211855.049.ctr,8/5/16,46
2,20160806_010226.996.ctr,8/6/16,47
2,20160806_011401.393.ctr,8/6/16,48
2,20160808_011050.940.ctr,8/8/16,50
2,20160808_011505.161.ctr,8/8/16,51
2,20160810_221935.248.ctr,8/10/16,52
2,20160811_001059.917.ctr,8/11/16,54
2,20160811_001327.035.ctr,8/11/16,55
2,20160815_220047.705.ctr,8/15/16,57
2,20160815_220048.975.ctr,8/15/16,58
2,20160815_220050.202,8/15/16,59
2,20160815_220051.404.ctr,8/15/16,60
2,20160815_220104.680,8/15/16,61
2,20160815_220130.503,8/15/16,62
2,20160815_220134.034,8/15/16,63
2,20160815_220843.800.ctr,8/15/16,64
2,20160815_220847.666,8/15/16,65
2,20160815_220956.677.ctr,8/15/16,66
2,20160815_221010.443.ctr,8/15/16,67
2,20160815_221222.660,8/15/16,68
2,20160815_221700.569.ctr,8/15/16,69
2,20160815_221707.118.ctr,8/15/16,70
2,20160817_230021.071.ctr,8/17/16,71
2,20160818_230226.875.ctr,8/18/16,72
2,20160818_230411.163.ctr,8/18/16,73
2,20160818_230623.114.ctr,8/18/16,74
2,20160819_000843.497.ctr,8/19/16,75
2,20160819_001013.250,8/19/16,77
2,20160819_230345.180.ctr,8/19/16,78
2,20160819_230702.659,8/19/16,79
2,20160822_180027.186.ctr,8/22/16,80
2,20160822_180028.753.ctr,8/22/16,81
2,20160822_180758.307.ctr,8/22/16,82
2,20160822_181543.684.ctr,8/22/16,83
2,20160822_181547.023.ctr,8/22/16,84
2,20160822_181549.421.ctr,8/22/16,85
2,20160823_200032.322.ctr,8/23/16,86
2,20160823_200038.505.ctr,8/23/16,87
2,20160824_231656.635.ctr,8/24/16,88
2,20160824_231751.757.ctr,8/24/16,89
2,20160827_230128.756.ctr,8/27/16,90
2,20160904_000626.472.ctr,9/4/16,91
2,20160904_000648.945.ctr,9/4/16,92
2,20160904_000659.060.ctr,9/4/16,93
2,20160904_000701.521,9/4/16,94
2,20160907_190533.637.ctr,9/7/16,95
2,20170111_001025.ctr,1/11/17,96
2,20170112_071027.ctr,1/12/17,97
2,20170112_231715.ctr,1/12/17,98
2,20170112_231728.ctr,1/12/17,99
2,20170114_110304.ctr,1/14/17,100
2,20170114_110312.ctr,1/14/17,101
2,20170115_190834.ctr,1/15/17,102
2,20170115_231914.ctr,1/15/17,103
2,20170115_231921.ctr,1/15/17,104
2,20170116_000843.ctr,1/16/17,105
2,20170116_030612.ctr,1/16/17,106
2,20170117_010015.ctr,1/17/17,107
2,20170117_011124.ctr,1/17/17,108
2,20170117_011726.ctr,1/17/17,109
2,20170117_011737.ctr,1/17/17,110
2,20170118_070834.ctr,1/18/17,111
2,20170118_071703.ctr,1/18/17,112
2,20170119_221027.ctr,1/19/17,114
2,20170120_051732.ctr,1/20/17,115
2,20170121_030619.ctr,1/21/17,116
2,20170121_050359.ctr,1/21/17,117
2,20170121_050505.ctr,1/21/17,118
2,20170125_201236,1/25/17,120
2,20170125_201621.ctr,1/25/17,121
2,20170125_201625.ctr,1/25/17,122
2,20170129_210743.ctr,1/29/17,123
2,20170129_210758.ctr,1/29/17,124
2,20170130_030141.ctr,1/30/17,126
2,20170130_030244.ctr,1/30/17,127
2,20170130_030306.ctr,1/30/17,128
2,20170131_211849.ctr,1/31/17,129
2,20170131_211919.ctr,1/31/17,130
2,20170202_041521.ctr,2/2/17,133
2,20170202_041735.ctr,2/2/17,134
2,20170202_041737,2/2/17,135
2,20170203_080812.ctr,2/3/17,136
2,20170205_180402.ctr,2/5/17,137
2,20170206_170218.ctr,2/6/17,139
2,20170206_170522.ctr,2/6/17,140
2,20170213_011117.ctr,2/13/17,141
2,20170213_011433.ctr,2/13/17,142
2,20170217_071543.ctr,2/17/17,143
2,20170218_021741.ctr,2/18/17,144
2,20170220_041849.ctr,2/20/17,145
2,20170220_041932.ctr,2/20/17,146
2,20170222_001009.ctr,2/22/17,148
2,20170226_221407.ctr,2/26/17,149
2,20170226_221728,2/26/17,151
2,20170228_001055.ctr,2/28/17,154
2,20170301_001048.ctr,3/1/17,155
2,20170301_001746.ctr,3/1/17,156
2,20170309_081834.ctr,3/9/17,158
2,20170309_081846.ctr,3/9/17,159
2,20170309_081923.ctr,3/9/17,160
2,20170310_061900.ctr,3/10/17,161
2,20170310_061906.ctr,3/10/17,162
2,20170311_090637.ctr,3/11/17,163
2,20170311_090639.ctr,3/11/17,164
2,20170312_121905.ctr,3/12/17,165
2,20170325_231515.ctr,3/25/17,166
2,20170325_231536,3/25/17,167
2,20170325_231702.ctr,3/25/17,168
2,20170616_211008.ctr,6/16/17,170
2,20170621_231834.ctr,6/21/17,172
