Index,WhisNum,SiteNum,Filename,Region,Startfreq,Endfreq,Minfreq,Maxfreq,Deltafreq,Duration,Extrema,SPLrms
1,1,2,20170116_000843.ctr,Coastal,10339.9,6118.6,6118.6,18403.2,12284.6,1.113,3,123.0410518
1,2,2,20170130_030127.ctr,Coastal,11573.1,7778.7,7778.7,18592.9,10814.2,0.878,3,123.0740037
2,1,2,20160730_010910.094.ctr',Coastal,5691.7,5430.8,3154.2,5881.4,2727.2,1.432,6,112.4321282
2,2,2,20160814_211144.492.ctr',Coastal,5125.3,2762.1,2762.1,6230.2,3468.1,1.795,6,118.7292864
3,1,2,20160818_230411.163.ctr,Coastal,2608.7,1754.9,1754.9,3130.4,1375.5,1.192,4,106.5563945
3,2,2,20160819_000910.428.ctr,Coastal,4125.3,1945.2,1710.5,4125.3,2414.8,1.014,5,106.4184337
4,1,2,20170115_231921.ctr,Coastal,11288.5,12237.2,7826.1,13754.9,5928.8,0.959,10,123.0772849
4,2,2,20170118_081319.ctr,Coastal,10956.5,13375.5,7778.7,13375.5,5596.8,0.614,9,122.9963503
5,1,2,20170116_030612.ctr,Coastal,15889.3,11688,6071.1,15889.3,9818.2,0.988,3,123.5142776
5,2,2,20170220_210319.ctr,Coastal,17691.7,7920.9,6735.2,17691.7,10956.5,0.811,3,123.0503574
6,1,2,20170120_051732.ctr,Coastal,14751,8869.6,8869.6,14751,5881.4,1.193,2,123.8316813
6,2,2,A5C.02.ch01.181202.090115.37..ctr',Coastal,13754.9,8774.7,8774.7,14703.6,5928.9,1.291,3,109.1800402
7,1,2,20170121_050359.ctr,Coastal,9960.5,12569.2,8632.4,22197.6,13565.2,1.32,4,123.0244194
7,2,2,20170227_031237.ctr,Coastal,13517.8,11715.4,8015.8,19731.2,11715.4,1.845,4,125.15898
8,1,2,20170129_210743.ctr,Coastal,15841.9,12806.3,5881.4,16980.2,11098.8,1.276,5,123.3882296
8,2,2,20170227_001615.ctr,Coastal,11146.2,13849.8,8300.4,20205.5,11905.1,1.348,5,125.7680403
9,1,2,20170130_030244.ctr,Coastal,12142.3,10197.5,10197.5,15794.5,5597,0.823,3,123.0740037
9,2,2,20170402_041218.ctr,Coastal,12284.6,11004,11004,15936.8,4932.8,1.356,3,123.0339848
10,1,2,20170131_211849.ctr',Coastal,11228.9,9156.6,8481.9,13879.5,5397.6,1.546,6,124.2460213
10,2,2,A5C.01.ch01.180818.074530.89..ctr',Coastal,8771.1,9194.8,8771.1,14650.6,5879.5,0.859,5,118.7554646
11,1,2,20170205_180402.ctr,Coastal,7036.1,11180.7,5831.3,15518.1,9686.8,1.308,5,123.1071605
11,2,2,20170206_170211.ctr,Coastal,8144.6,11277.1,8144.6,15566.3,7421.7,1.313,5,123.2210437
12,1,2,20170213_011433.ctr',Coastal,14747,5445.8,5445.8,14747,9301.2,1.471,2,124.1481191
12,2,1,T1C.03.ch01.180929.194715.05..ctr',Coastal,11951.8,4771.1,4771.1,11951.8,7180.7,0.853,2,130.7134514
13,1,2,20170311_090639,Coastal,13831.3,11228.9,8433.7,17686.7,9253,1.352,4,123.1369084
13,2,2,A5C.02.ch01.181202.203011.66..ctr',Coastal,14988,13734.9,8963.9,15855.4,6891.5,0.87,4,110.1284745
14,1,1,20170613.133806.29..sel.30.30wav.ctr',Coastal,10120.5,13060.2,6361.4,13060.2,6698.8,0.482,3,122.8700427
14,2,1,20170613.231025.64..sel.93.93wav.ctr',Coastal,7903.6,11132.5,6168.7,11132.5,4963.8,0.35,3,125.9787226
14,3,1,20170614.063608.88..sel.134.134wav.ctr',Coastal,8144.6,14650.6,6698.8,14650.6,7951.8,0.397,3,122.9561594
14,4,1,20170614.160137.41..sel.193.193wav.ctr,Coastal,8674.7,13783.1,6554.2,13783.1,7228.9,0.452,3,122.9763576
14,5,1,T1C.03.ch01.180905.000125.62..ctr',Coastal,10361.4,18939.8,6361.4,18939.8,12578.4,0.603,3,130.9451007
14,6,1,T1C.01.ch01.180908.153222.16..ctr',Coastal,8771.1,14216.9,6891.6,14216.9,7325.3,0.259,3,130.7563898
14,7,1,T1C.01.ch01.180922.090012.45..ctr',Coastal,10409.6,13060.2,6361.4,13060.2,6698.8,0.353,3,130.7634033
15,1,1,20170613.150439.27..sel.57.57wav.ctr',Coastal,7586.2,16827.6,6827.6,16827.6,10000,0.344,3,122.9404426
15,2,1,sel.331.T1C.2017.07.ctr',Coastal,8206.9,17793.1,8206.9,17793.1,9586.2,0.462,2,123.002432
15,3,1,sel.462.T1C.2017.07.ctr',Coastal,8000,15279.3,7724.1,15279.3,7555.2,0.528,4,122.989568
15,4,4,Pot02.190814.011604.59.ctr',Bay,8206.9,15034.5,8206.9,15034.5,6827.6,0.44,2,122.2030557
15,5,1,T1C.12.ch01.180923.131912.12..ctr',Coastal,8137.9,16965.5,7655.2,16965.5,9310.3,0.444,3,130.7448447
16,1,1,20170613.153723.73..sel.69.69wav.ctr',Coastal,4827.6,14275.9,4827.6,15655.2,10827.6,0.336,4,122.9259171
16,2,1,T1C.09.ch01.180923.130416.89..ctr',Coastal,4689.7,14000,4689.7,14000,9310.3,0.206,2,130.7521126
18,1,1,20170613.164704.22..sel.84.84wav.ctr,Coastal,7793.1,4620.7,3655.2,12413.8,8758.6,0.744,5,122.9662458
18,2,1,20170616.115809.40..sel.331.331wav.ctr,Coastal,6069,4344.8,3655.2,10896.6,7241.4,1.332,6,122.9541829
19,1,1,20170613.231118.65..sel.96.96wav.ctr',Coastal,9217.8,16412.2,9217.8,16412.2,7194.4,0.257,4,125.9787226
19,2,1,sel.02_T1C_201708.ctr',Coastal,9420.6,15700.9,9420.6,15700.9,6280.3,0.173,4,122.9435052
19,3,1,sel.37.T1C.2017.07.ctr',Coastal,9373.4,15553.6,9373.4,15553.6,6180.2,0.172,2,122.9774206
20,1,1,20170613.164658.07..sel.83.83wav.ctr',Coastal,7289.7,7289.7,7289.7,15925.2,8635.5,0.567,3,122.9662458
20,2,3,rr.23.ch01.180625.155551.ctr--rr.23.ch01.180625.155513.ctr,Bay,6852,5821.6,4430.6,15558.6,11128,1.294,4,131.1894396
21,1,1,20170613.230549.83..sel.92.92wav.ctr',Coastal,7009.3,14243,7009.3,14243,7233.7,0.464,2,126.7853394
21,2,1,T1C.04.ch01.180807.131200.51.(2).ctr',Coastal,6616.8,14579.4,6616.8,14579.4,7962.6,0.7,2,130.7991753
22,1,1,20170613.231728.70..sel.110.110wav.ctr',Coastal,3981.3,10934.6,3981.3,10934.6,6953.3,0.501,2,125.9787226
22,2,2,A5C.01.ch01.180920.194652.73..ctr',Coastal,4373.8,9420.6,4373.8,9420.6,5046.8,0.327,2,118.844589
23,1,1,20170613.231314.12..sel.102.102wav.ctr',Coastal,12168.2,12448.6,6897.2,12448.6,5551.4,0.57,3,125.9787226
23,2,2,A5C.01.ch01.181202.090039.22..ctr',Coastal,12672.9,8859.8,7345.8,12672.9,5327.1,0.407,3,109.1800402
24,1,1,20170614.063101.02..sel.133.133wav.ctr',Coastal,8747.7,10373.8,7850.5,10373.8,2523.3,0.228,3,122.9561594
24,2,1,sel.03_T1C_201708.ctr',Coastal,9757,12672.9,8243,12672.9,4429.9,0.201,3,122.9737676
25,1,1,20170614.063627.86..sel.139.139wav.ctr',Coastal,10598.1,13514,8467.3,13514,5046.7,0.613,3,122.9561594
25,2,1,T1C.01.ch01.180906.013223.69..ctr',Coastal,10261.7,14915.9,7962.6,14915.9,6953.3,0.263,3,130.9016123
26,1,1,20170614.161920.10..sel.198.198wav.ctr',Coastal,8803.7,7345.8,7345.8,14130.8,6785,0.937,4,122.9563838
26,2,2,20170617_211513.ctr',Coastal,7514,7457.9,7457.9,14355.1,6897.2,0.648,4,119.0525931
26,3,1,20170616.185250.47..sel.339wav.ctr,Coastal,10149.5,6280.4,6280.4,14411.2,8130.8,0.849,4,123.2968426
27,1,1,20170614.163551.56..sel.212.212wav.ctr,Coastal,8747.7,4261.7,4261.7,8747.7,4486,0.813,2,122.9561594
27,2,1,20170615.011242.79..sel.231.231wav.ctr,Coastal,9364.5,3532.7,3532.7,10149.5,6616.8,0.776,5,123.2336029
28,1,1,20170614.112512.47..sel.144.144wav.ctr,Coastal,5607.5,4261.7,3813.1,11046.7,7233.6,0.786,6,122.9530796
28,2,1,20170618.053837.22..sel.390.390wav.ctr,Coastal,4373.8,5327.1,4373.8,12280.4,7906.6,0.853,7,122.9738419
28,3,1,20170618.115621.21..sel429.429wav.ctr,Coastal,4934.6,5046.7,4598.1,11607.5,7009.4,0.536,5,123.0280081
28,4,1,T1C.01.ch01.180911.101602.14..ctr',Coastal,4710.3,4822.4,4373.8,15196.3,10822.5,0.402,6,130.8781831
29,1,1,20170614.163836.14..sel.217.217wav.ctr',Coastal,12000,4205.6,4205.6,12000,7794.4,0.695,4,122.9561594
29,2,1,sel.306.T1C.2017.07.ctr',Coastal,12000,3981.3,3981.3,12000,8018.7,0.837,2,122.9722564
29,3,1,sel.129_T1C_201708.ctr',Coastal,14019.7,4429.9,4037.4,14018.7,9981.3,0.788,5,126.2976121
29,4,2,A5C.03.ch01.181119.000116.48..ctr',Coastal,10766.4,6672.9,6672.9,10766.4,4093.5,0.986,2,109.1773693
29,5,4,Pot02.190814.015629.23.ctr',Bay,12392.5,4149.5,4149.5,12392.5,8243,0.835,2,121.8636461
30,1,1,20170615.051744.39..sel.244.244wav.ctr',Coastal,7107.3,11433.5,6643.8,14214.6,7570.8,0.861,7,122.9562954
30,2,1,sel.287.T1C.2017.07.ctr',Coastal,7158.8,11124.5,7004.3,12051.5,5047.2,0.759,7,122.9863
30,3,1,sel.466.T1C.2017.07.ctr',Coastal,7364.8,12669.5,7313.3,12669.5,5356.2,0.897,10,123.1616927
31,1,1,20170615.025327.15..sel.238.238wav.ctr',Coastal,7570.8,8909.9,7570.8,11176,3605.2,0.56,4,122.9287009
31,2,1,T1C.06.ch01.180814.094103.52..ctr',Coastal,9012.9,8034.3,8034.3,12051.5,4017.2,0.514,3,130.7568327
31,3,2,A5C.01.ch01.181205.101504.28..ctr',Coastal,9939.9,9373.4,8446.4,12515,4068.6,0.49,4,109.5959577
32,4,1,20170615.110324.51..sel.256.256wav.ctr,Coastal,5201.7,4738.2,4120.2,14163.1,10042.9,0.767,9,122.9026454
32,5,1,20170616.042056.08..sel.317.317wav.ctr,Coastal,6643.8,14111.6,1411.6,6643.8,5232.2,0.549,6,122.9520184
32,6,1,20170616.190518.40..sel.344.344wav.ctr,Coastal,5716.7,11639.5,5665.2,13905.6,8240.4,0.437,6,123.3259337
33,1,1,20170615.123819.73..sel.266.266wav.ctr',Coastal,15656.7,6746.8,6746.8,19364.8,12618,1.042,3,123.1708615
33,2,1,sel.110.T1C.2017.07.ctr',Coastal,10351.9,5356.2,5356.2,18798.3,13442.1,1.004,3,123.1945412
34,1,1,20170615.104509.55..sel.253.253wav.ctr',Coastal,11073,12103,8343.3,13648.1,5304.8,0.897,5,122.9452476
34,2,1,sel.224.T1C.2017.07.ctr',Coastal,7931.3,16686.7,7931.3,16686.7,8755.4,0.752,4,123.023736
35,1,1,20170615.204836.78..sel.295.295wav.ctr,Coastal,10918.5,3965.7,3965.7,12000,8034.3,1.028,5,125.1611494
35,2,1,20170618.160352.04..sel.440.440wav.ctr,Coastal,17407.7,5407.7,5407.7,17407.7,12000,0.844,4,123.1503379
36,1,1,20170615.205447.77..sel.301.301wav.ctr',Coastal,6695.3,6128.8,6128.8,12154.5,6025.7,0.348,3,125.1611494
36,2,1,T1C.05.ch01.180928.174914.90..ctr',Coastal,8703.9,9167.4,8703.9,11742.5,3038.6,0.578,3,131.1215617
36,3,2,A5C.01.ch01.181101.203344.46..ctr',Coastal,8549.4,7107.3,7107.3,12463.5,5356.2,0.487,3,113.417943
36,4,2,A5C.03.ch01.181127.181627.96..ctr',Coastal,8858.4,8188.8,8188.8,12000,3811.2,1.112,3,109.4817248
37,1,1,20170616.120546.75..sel.333.333wav.ctr,Coastal,4429.2,4120.2,4120.2,12721,8600.8,0.823,3,122.9950056
37,2,1,20170618.114240.36..sel.424.424wav.ctr,Coastal,7416.3,3862.7,3862.7,14420.6,10557.9,0.445,3,123.1226809
38,1,1,20170618.063021.13..sel.403.403wav.ctr,Coastal,7776.8,6695.3,6695.3,9682.4,2987.1,0.936,5,122.9573791
38,2,1,20170618.113736.02..sel.421.421wav.ctr,Coastal,8240.3,5562.2,4841.2,9630.9,4789.7,0.987,5,123.1226809
