New whistle match cat,First sighting site,First sighting date,First sighting contour name,Second sighting site,Second sighting date,Second sighting contour name,Third sighting site,Third sighting date,Third sighting contour,Fourth sighting site,Fourth sighting date,Fourth sighting contour,Fifth sighting site,Fifth sighting date,Fifth sighting contour,Sixth sighting site,Sixth sighting date,SIxth sighting contour,Seventh sighting site,Seventh sighting date,Seventh sighting contour
1,A5C,1/16/16,20170116_000843.ctr,A5C,1/30/17,20170130_030127.ctr,,,,,,,,,,,,,,,
2,A5C,7/29/16,20160729_231703.601.ctr-- is this 2016?!,A5C,8/8/16,20160808_010610.514.ctr- is this 2016?!,,,,,,,,,,,,,,,
3,A5C,7/30/16,20160730_010910.094.ctr,A5C,8/14/16,'20160814_211144.492.ctr',,,,,,,,,,,,,,,
4,A5C,8/2/16,20160802_030607.780.ctr,A5C,8/10/16,20160810_221946.963.ctr,,,,,,,,,,,,,,,
5,A5C,8/16/16,20170816_171531.ctr',Pot,9/16/19,Pot.01.190916.064105.03.ctr',,,,,,,,,,,,,,,
6,A5C,8/18/16,20160818_230411.163.ctr,A5C,8/19/16,20160819_000910.428.ctr,,,,,,,,,,,,,,,
7,A5C,1/12/17,20170112_231728.ctr,A5C,2/1/17,20170201_030809.ctr,A5C,4/2/17,20170402_041211.ctr,,,,,,,,,,,,
8,A5C,1/15/17,20170115_231921.ctr,A5C,1/18/17,20170118_081319.ctr,,,,,,,,,,,,,,,
9,A5C,1/16/17,20170116_030612.ctr,A5C,2/20/17,20170220_210319.ctr,,,,,,,,,,,,,,,
10,A5C,1/19/17,20170119_221027.ctr,A5C,2/1/17,20170201_030921.ctr,,,,,,,,,,,,,,,
11,A5C,1/20/17,20170120_051732.ctr,A5C,12/2/18,'A5C.02.ch01.181202.090115.37..ctr',,,,,,,,,,,,,,,
12,A5C,1/21/17,20170121_030619.ctr,A5C,1/25/17,20170125_201042.ctr,,,,,,,,,,,,,,,
13,A5C,1/21/17,20170121_050359.ctr,A5C,2/27/17,20170227_031237.ctr,A5C,3/8/17,20170308_071621.ctr,,,,,,,,,,,,
14,A5C,1/25/17,20170125_201236.ctr',T1C,6/13/17,20170613.154147.93..sel.74.74wav.ctr',,,,,,,,,,,,,,,
15,A5C,1/25/17,20170125_201636.ctr,A5C,8/9/17,20170809_191947.ctr,,,,,,,,,,,,,,,
16,A5C,1/29/17,20170129_210743.ctr,A5C,2/27/17,20170227_001615.ctr,,,,,,,,,,,,,,,
17,A5C,1/30/17,20170130_030141.ctr,A5C,2/26/17,20170226_221616.ctr,,,,,,,,,,,,,,,
18,A5C,1/30/17,20170130_030244.ctr,A5C,4/2/17,20170402_041218.ctr,,,,,,,,,,,,,,,
19,A5C,1/31/17,20170131_211849.ctr',A5C,8/18/18,A5C.01.ch01.180818.074530.89..ctr',,,,,,,,,,,,,,,
20,A5C,2/5/17,20170205_180402.ctr,A5C,2/6/17,20170206_170211.ctr,,,,,,,,,,,,,,,
21,A5C,2/13/17,20170213_011433.ctr,T1C,9/29/18,'T1C.03.ch01.180929.194715.05..ctr',,,,,,,,,,,,,,,
22,A5C,2/28/17,20170228_001055.ctr,T1C,7/21/18,'T1C.06.ch01.180721.080402.24..ctr',,,,,,,,,,,,,,,
23,A5C,3/11/17,20170311_090639,A5C,12/2/18,'A5C.02.ch01.181202.203011.66..ctr',,,,,,,,,,,,,,,
24,T1C,6/13/17,20170613.133806.29..sel.30.30wav.ctr,T1C,6/14/17,'20170613.231025.64..sel.93.93wav.ctr',T1C,6/15/17,20170614.063608.88..sel.134.134wav.ctr',T1C,6/16/17,20170614.160137.41..sel.193.193wav.ctr,T1C,9/5/18,'T1C.03.ch01.180905.000125.62..ctr',T1C,9/8/18,'T1C.01.ch01.180908.153222.16..ctr',T1C,9/22/18,'T1C.01.ch01.180922.090012.45..ctr'
25,T1C,6/13/17,20170613.135258.67..sel.39.39wav.ctr,T1C,6/14/17,20170613.232045.82..sel.115.115wav.ctr,T1C,6/24/17,20170617.065037.09..sel.357.357wav.ctr,T1C,6/28/17,20170618.113918.47..sel.423.423wav.ctr,,,,,,,,,
26,T1C,6/13/17,20170613.150752.78..sel.58.58wav.ctr',T1C,6/15/17,'20170614.062729.10..sel.131.131wav.ctr',,,,,,,,,,,,,,,
27,T1C,6/13/17,20170613.132500.29..sel.14.14wav.ctr,T1C,6/18/17,20170615.022634.32..sel.234.234wav.ctr',,,,,,,,,,,,,,,
28,T1C,6/13/17,20170613.132526.26..sel.16.16wav.ctr,T1C,6/24/17,20170617.070350.45..sel.360.360wav.ctr,T1C,6/27/17,20170618.083611.88..sel.418.418wav.ctr,,,,,,,,,,,,
29,T1C,6/13/17,20170613.150439.27..sel.57.57wav.ctr',T1C,7/17/17,sel.331.T1C.2017.07.ctr',T1C,7/23/17,sel.462.T1C.2017.07.ctr',Pot,8/14/19,Pot02.190814.011604.59.ctr',T1C,9/23/18,T1C.12.ch01.180923.131912.12..ctr',,,,,,
30,T1C,6/13/17,20170613.153723.73..sel.69.69wav.ctr,T1C,9/23/18,'T1C.09.ch01.180923.130416.89..ctr',,,,,,,,,,,,,,,
31,T1C,6/13/17,20170613.135550.29..sel.41.41wav.ctr',Pot,8/4/19,Pot.01.190804.030542.56.ctr',,,,,,,,,,,,,,,
32,T1C,6/14/17,20170613.231609.03..sel.108.108wav.ctr,T1C,6/16/17,20170614.155447.55..sel.184.184wav.ctr,,,,,,,,,,,,,,,
33,T1C,6/14/17,20170613.164952.84..sel.88.88wav.ctr,T1C,6/16/17,20170614.160850.53..sel.196.196wav.ctr,,,,,,,,,,,,,,,
34,T1C,6/14/17,20170613.232242.03..sel.119.119wav.ctr,T1C,6/18/17,20170615.034011.11..sel.239.239wav.ctr,T1C,6/20/17,20170615.194719.87..sel.283.283wav.ctr,T1C,6/23/17,20170616.190432..sel.343.343wav.ctr,T1C,8/11/18,'T1C.07.ch01.180811.193659.27..ctr',,,,,,
35,T1C,6/14/17,20170613.164704.22..sel.84.84wav.ctr,T1C,6/22/17,20170616.115809.40..sel.331.331wav.ctr,,,,,,,,,,,,,,,
36,T1C,6/14/17,20170613.231118.65..sel.96.96wav.ctr',T1C,8/1/17,sel.02_T1C_201708.ctr',,,,,,,,,,,,,,,
37,T1C,6/14/17,20170613.164658.07..sel.83.83wav.ctr',Rhode River,6/25/18,rr.23.ch01.180625.155513.ctr,,,,,,,,,,,,,,,
38,T1C,6/14/17,20170613.230549.83..sel.92.92wav.ctr',T1C,8/7/18,T1C.04.ch01.180807.131200.51.(2).ctr',,,,,,,,,,,,,,,
39,T1C,6/14/17,20170613.231728.70..sel.110.110wav.ctr',A5C,9/20/18,A5C.01.ch01.180920.194652.73..ctr',,,,,,,,,,,,,,,
40,T1C,6/14/17,20170613.231314.12..sel.102.102wav.ctr',A5C,12/2/18,A5C.01.ch01.181202.090039.22..ctr',,,,,,,,,,,,,,,
41,T1C,6/15/17,20170614.063101.02..sel.133.133wav.ctr',T1C,8/1/17,sel.03_T1C_201708.ctr',,,,,,,,,,,,,,,
42,T1C,6/15/17,20170614.063627.86..sel.139.139wav.ctr,T1C,9/6/18,'T1C.01.ch01.180906.013223.69..ctr',,,,,,,,,,,,,,,
43,T1C,6/16/17,20170614.161920.10..sel.198.198wav.ctr',A5C,6/17/17,20170617_211513.ctr',T1C,6/23/17,20170616.185250.47..sel.339wav.ctr,,,,,,,,,,,,
44,T1C,6/16/17,20170614.163551.56..sel.212.212wav.ctr,T1C,6/18/17,20170615.011242.79..sel.231.231wav.ctr,,,,,,,,,,,,,,,
